0.75	0.75	0.75	0.75	0.75
0.75	0.75	0.75	0.75	0.75
0.75	0.75	0.75	0.75	0.75
0.75	0.75	0.75	0.75	0.75
0.75	0.75	0.75	0.75	0.75
0.75	0.75	0.75	0.75	0.75
0.75	0.75	0.75	0.75	0.75
0.75	0.75	0.75	0.75	0.75
1	1	1	1	1
0.625	0.5	0.5	0.5	0.5
1	1	1	1	1
1	1	1	1	1
0.625	0.625	0.625	0.625	0.625
0.875	0.875	0.875	0.875	0.875
0.875	0.875	0.875	0.875	0.875
0.375	0.375	0.375	0.375	0.375
1	1	1	1	1
0.625	0.5	0.5	0.5	0.5
0.875	0.875	0.875	0.875	0.875
0.875	0.75	0.75	0.75	0.75
0.125	0	0	0	0
1	1	1	1	1
0.125	0	0	0	0
0	0	0	0	0
0.125	0.125	0.125	0.125	0.125
0.5	0.5	0.5	0.5	0.5
0.875	0.875	0.875	0.875	0.875
1	0.875	0.875	0.875	0.875
0	0	0	0	0
0.5	0.5	0.5	0.5	0.5
0.875	0.875	0.875	0.875	0.875
0	0	0	0	0
